Year,Province,"Average age, both sexes","Average age, men","Average age, women",Citizens of foreign countries,Demographic dependency ratio,Economic dependency ratio,Finnish speakers,Foreign-language speakers,"Land area, km²",Persons born abroad,Persons with foreign background,Population 31 Dec,Sami speakers,"Share of persons aged 15 to 64, %","Share of persons aged 65 or over, %","Share of persons aged under 15, %",Swedish speakers,Region,"Annual change, %","Annual change, % (real price index)",Average area m2,Index,Lower quartile,Medianprice,Number,Price per square meter (EUR/m2),Real price index,Upper quartile
2015,Eastern Finland,45.0306911179018,43.61449140519435,46.397441356276495,11391.0,74.05116279069767,193.09767441860467,546426.0,16148.0,48412.61,17157.0,16494.0,563189.0,15.0,61.316909066050655,24.214822377567746,14.478422696466017,600.0,Eastern Finland,,,4189.0,95.6,1.5,4.7,74.0,10.0,95.5,13.7
2015,Northern Finland,41.41169615571659,40.261484669096234,42.59835718874393,12539.0,71.76949152542372,185.0864406779661,647500.0,15790.0,149676.47,22041.0,16680.0,666236.0,1697.0,62.01171912055188,19.705143672812632,18.294092783938424,1249.0,Northern Finland,,,3766.0,90.4,1.7,7.4,128.0,7.7,90.3,22.5
2015,Southern Finland,40.91814682268052,39.496619729162454,42.21756047771019,133971.0,64.53999999999999,146.645,1580028.0,198794.0,17836.739999999998,187550.0,202578.0,1894789.0,126.0,65.82036258390775,17.736464587877595,16.442984786168804,115841.0,Southern Finland,,,2669.0,99.1,8.6,35.0,318.0,32.3,99.0,75.8
2015,Western Finland,42.95932134150925,41.516290509992594,44.35717505557405,70521.0,71.03963414634147,158.22134146341463,2082114.0,97236.0,85669.93000000001,108348.0,102352.0,2327975.0,118.0,61.910401357402904,21.958594830270943,16.13161206628078,148507.0,Western Finland,,,2565.0,101.3,4.3,13.6,206.0,13.7,101.2,33.6
2016,Eastern Finland,45.24451426085343,43.845629381851374,46.604816024648905,12096.0,75.93488372093023,191.34418604651162,542865.0,17351.0,48412.15,18214.0,17709.0,560836.0,12.0,60.83300982818508,24.801084809106403,14.346403761527434,608.0,Eastern Finland,-17.4,-18.0,3927.0,78.9,1.9,5.0,74.0,7.0,78.3,15.0
2016,Northern Finland,41.66216134262039,40.509539600096076,42.82819247628198,13443.0,73.87796610169492,182.49830508474577,645968.0,17225.0,149687.35,23389.0,18173.0,666160.0,1704.0,61.55500825627477,20.250049987990874,18.15493304911733,1263.0,Northern Finland,19.6,18.8,3608.0,108.1,3.7,7.4,115.0,9.5,107.2,19.0
2016,Southern Finland,41.03509991148276,39.643151475391996,42.40537224325292,142012.0,65.905,146.975,1582053.0,213785.0,17835.53,199647.0,217711.0,1911492.0,128.0,65.59020011593039,18.04242293454537,16.38621113768721,115526.0,Southern Finland,1.5,0.8,2146.0,100.6,14.2,51.5,313.0,47.0,99.7,115.7
2016,Western Finland,43.16237103269976,41.72021443335073,44.56159160669652,74636.0,72.60975609756098,157.05670731707318,2077486.0,103928.0,85672.81,114115.0,109253.0,2330048.0,124.0,61.53603307743017,22.428157016507818,16.05281745268767,148510.0,Western Finland,-12.3,-12.9,2591.0,88.9,3.6,13.0,247.0,16.2,88.1,43.6
2017,Eastern Finland,45.52037774341679,44.14438206787313,46.87977149342801,12002.0,78.62790697674419,187.93023255813952,538424.0,17777.0,48413.28,18551.0,18127.0,556833.0,13.0,60.188705590365515,25.58641908794917,14.2182191069854,619.0,Eastern Finland,0.0,-0.6,3601.0,78.9,1.7,3.6,64.0,6.7,77.8,20.0
2017,Northern Finland,41.93688721546739,40.80962005178651,43.07708822653744,13620.0,76.00169491525425,176.96101694915257,644005.0,18018.0,149689.3,24067.0,18952.0,665038.0,1716.0,61.05478664377074,20.896190894354906,18.03069493773288,1299.0,Northern Finland,-15.4,-15.9,3597.0,91.5,1.2,4.5,118.0,7.8,90.2,27.3
