Province,Year,"Annual change, %","Annual change, % (real price index)",Average area m2,Index,Lower quartile,Medianprice,Number,Price per square meter (EUR/m2),Real price index,Upper quartile
Eastern Finland,2015,,,4189.0,95.6,1.5,4.7,74.0,10.0,95.5,13.7
Eastern Finland,2016,-17.4,-18.0,3927.0,78.9,1.9,5.0,74.0,7.0,78.3,15.0
Eastern Finland,2017,0.0,-0.6,3601.0,78.9,1.7,3.6,64.0,6.7,77.8,20.0
Eastern Finland,2018,20.4,19.5,4685.0,95.0,2.2,5.9,72.0,5.4,93.0,15.8
Eastern Finland,2019,-5.9,-7.1,4586.0,89.4,1.9,4.5,57.0,4.0,86.3,12.1
Eastern Finland,2020,17.4,17.2,4195.0,105.0,2.3,6.0,105.0,6.9,101.2,23.0
Eastern Finland,2021,-24.0,-26.6,5064.0,79.8,2.3,4.8,81.0,6.6,74.3,12.9
Eastern Finland,2022,29.8,19.2,3724.0,103.5,1.5,5.4,50.0,9.8,88.6,16.8
Eastern Finland,2023,-53.0,-54.8,4512.0,48.6,1.0,4.0,37.0,4.9,40.0,10.0
Eastern Finland,2024,28.8,27.6,4276.0,62.6,1.2,5.1,44.0,6.9,51.1,25.0
Northern Finland,2015,,,3766.0,90.4,1.7,7.4,128.0,7.7,90.3,22.5
Northern Finland,2016,19.6,18.8,3608.0,108.1,3.7,7.4,115.0,9.5,107.2,19.0
Northern Finland,2017,-15.4,-15.9,3597.0,91.5,1.2,4.5,118.0,7.8,90.2,27.3
Northern Finland,2018,-1.7,-2.4,3517.0,89.9,1.9,7.9,126.0,11.8,88.0,36.1
Northern Finland,2019,17.9,16.3,3070.0,106.0,3.3,10.6,105.0,11.1,102.3,29.3
Northern Finland,2020,25.4,25.2,2874.0,132.9,2.4,12.5,168.0,17.8,128.1,48.2
Northern Finland,2021,7.8,4.2,4100.0,143.3,3.0,6.9,144.0,8.7,133.4,20.9
Northern Finland,2022,-24.9,-31.0,3583.0,107.6,3.2,6.5,86.0,10.3,92.0,18.8
Northern Finland,2023,47.5,42.0,3427.0,158.7,3.1,12.8,95.0,13.4,130.7,58.6
Northern Finland,2024,-35.6,-36.2,2962.0,102.2,1.8,6.8,79.0,14.6,83.3,57.9
Southern Finland,2015,,,2669.0,99.1,8.6,35.0,318.0,32.3,99.0,75.8
Southern Finland,2016,1.5,0.8,2146.0,100.6,14.2,51.5,313.0,47.0,99.7,115.7
Southern Finland,2017,-1.3,-1.9,2444.0,99.3,7.9,35.5,368.0,38.7,97.8,89.8
Southern Finland,2018,6.4,5.6,2273.0,105.6,13.9,45.0,387.0,47.7,103.3,118.8
Southern Finland,2019,-1.6,-2.9,2294.0,103.9,13.4,46.2,388.0,43.5,100.3,96.8
Southern Finland,2020,10.6,10.3,2468.0,114.9,9.5,44.9,576.0,42.1,110.7,108.3
Southern Finland,2021,5.9,2.3,2358.0,121.6,12.6,40.1,499.0,39.3,113.2,87.1
Southern Finland,2022,1.2,-7.0,2418.0,123.0,12.5,53.4,243.0,45.8,105.2,105.0
Southern Finland,2023,-11.0,-14.4,2659.0,109.5,4.1,31.0,212.0,38.0,90.1,103.4
Southern Finland,2024,6.7,5.7,2750.0,116.8,7.5,39.6,178.0,29.6,95.3,93.0
Western Finland,2015,,,2565.0,101.3,4.3,13.6,206.0,13.7,101.2,33.6
Western Finland,2016,-12.3,-12.9,2591.0,88.9,3.6,13.0,247.0,16.2,88.1,43.6
Western Finland,2017,9.2,8.5,2293.0,97.0,4.5,15.1,249.0,18.2,95.6,40.4
Western Finland,2018,0.9,0.2,2785.0,97.9,2.6,12.3,250.0,15.5,95.8,32.3
Western Finland,2019,-8.4,-9.6,3029.0,89.7,4.0,13.8,241.0,16.7,86.6,35.0
Western Finland,2020,13.6,13.4,2799.0,101.9,3.8,10.9,355.0,14.3,98.2,29.1
Western Finland,2021,-1.0,-4.3,3095.0,100.9,4.0,12.0,315.0,15.3,93.9,33.3
Western Finland,2022,13.1,3.9,2839.0,114.0,2.0,10.0,167.0,17.1,97.6,32.3
Western Finland,2023,17.6,13.2,3074.0,134.1,3.1,9.8,142.0,16.8,110.4,35.0
Western Finland,2024,-34.4,-35.0,2843.0,88.0,3.5,11.0,153.0,14.3,71.8,34.0
