Municipality,Region,Province
Akaa,Pirkanmaa,Western Finland
Alajärvi,South Ostrobothnia,Western Finland
Alavieska,North Ostrobothnia,Northern Finland
Alavus,South Ostrobothnia,Western Finland
Asikkala,Päijät-Häme,Western Finland
Askola,Uusimaa,Southern Finland
Aura,Southwest Finland,Western Finland
Brändö,Åland,Western Finland
Eckerö,Åland,Western Finland
Enonkoski,South Savo,Eastern Finland
Enontekiö,Lapland,Northern Finland
Espoo,Uusimaa,Southern Finland
Eura,Satakunta,Western Finland
Eurajoki,Satakunta,Western Finland
Evijärvi,South Ostrobothnia,Western Finland
Finström,Åland,Western Finland
Forssa,Kanta-Häme,Western Finland
Föglö,Åland,Western Finland
Geta,Åland,Western Finland
Haapajärvi,North Ostrobothnia,Northern Finland
Haapavesi,North Ostrobothnia,Northern Finland
Hailuoto,North Ostrobothnia,Northern Finland
Halsua,Central Ostrobothnia,Western Finland
Hamina,Kymenlaakso,Southern Finland
Hammarland,Åland,Western Finland
Hankasalmi,Central Finland,Western Finland
Hanko,Uusimaa,Southern Finland
Harjavalta,Satakunta,Western Finland
Hartola,Päijät-Häme,Western Finland
Hattula,Kanta-Häme,Western Finland
Hausjärvi,Kanta-Häme,Western Finland
Heinola,Päijät-Häme,Western Finland
Heinävesi,North Karelia,Eastern Finland
Helsinki,Uusimaa,Southern Finland
Hirvensalmi,South Savo,Eastern Finland
Hollola,Päijät-Häme,Western Finland
Huittinen,Satakunta,Western Finland
Humppila,Kanta-Häme,Western Finland
Hyrynsalmi,Kainuu,Northern Finland
Hyvinkää,Uusimaa,Southern Finland
Hämeenkyrö,Pirkanmaa,Western Finland
Hämeenlinna,Kanta-Häme,Western Finland
Ii,North Ostrobothnia,Northern Finland
Iisalmi,North Savo,Eastern Finland
Iitti,Päijät-Häme,Western Finland
Ikaalinen,Pirkanmaa,Western Finland
Ilmajoki,South Ostrobothnia,Western Finland
Ilomantsi,North Karelia,Eastern Finland
Imatra,South Karelia,Southern Finland
Inari,Lapland,Northern Finland
Ingå,Uusimaa,Southern Finland
Isojoki,South Ostrobothnia,Western Finland
Isokyrö,South Ostrobothnia,Western Finland
Janakkala,Kanta-Häme,Western Finland
Joensuu,North Karelia,Eastern Finland
Jokioinen,Kanta-Häme,Western Finland
Jomala,Åland,Western Finland
Joroinen,North Savo,Eastern Finland
Joutsa,Central Finland,Western Finland
Juuka,North Karelia,Eastern Finland
Juupajoki,Pirkanmaa,Western Finland
Juva,South Savo,Eastern Finland
Jyväskylä,Central Finland,Western Finland
Jämijärvi,Satakunta,Western Finland
Jämsä,Central Finland,Western Finland
Järvenpää,Uusimaa,Southern Finland
Kaarina,Southwest Finland,Western Finland
Kaavi,North Savo,Eastern Finland
Kajaani,Kainuu,Northern Finland
Kalajoki,North Ostrobothnia,Northern Finland
Kangasala,Pirkanmaa,Western Finland
Kangasniemi,South Savo,Eastern Finland
Kankaanpää,Satakunta,Western Finland
Kannonkoski,Central Finland,Western Finland
Kannus,Central Ostrobothnia,Western Finland
Karijoki,South Ostrobothnia,Western Finland
Karkkila,Uusimaa,Southern Finland
Karstula,Central Finland,Western Finland
Karvia,Satakunta,Western Finland
Kaskinen,Ostrobothnia,Western Finland
Kauhajoki,South Ostrobothnia,Western Finland
Kauhava,South Ostrobothnia,Western Finland
Kauniainen,Uusimaa,Southern Finland
Kaustinen,Central Ostrobothnia,Western Finland
Keitele,North Savo,Eastern Finland
Kemi,Lapland,Northern Finland
Kemijärvi,Lapland,Northern Finland
Keminmaa,Lapland,Northern Finland
Kimitoön,Southwest Finland,Western Finland
Kempele,North Ostrobothnia,Northern Finland
Kerava,Uusimaa,Southern Finland
Keuruu,Central Finland,Western Finland
Kihniö,Pirkanmaa,Western Finland
Kinnula,Central Finland,Western Finland
Kirkkonummi,Uusimaa,Southern Finland
Kitee,North Karelia,Eastern Finland
Kittilä,Lapland,Northern Finland
Kiuruvesi,North Savo,Eastern Finland
Kivijärvi,Central Finland,Western Finland
Kokemäki,Satakunta,Western Finland
Kokkola,Central Ostrobothnia,Western Finland
Kolari,Lapland,Northern Finland
Konnevesi,Central Finland,Western Finland
Kontiolahti,North Karelia,Eastern Finland
Korsnäs,Ostrobothnia,Western Finland
Koski Tl,Southwest Finland,Western Finland
Kotka,Kymenlaakso,Southern Finland
Kouvola,Kymenlaakso,Southern Finland
Kristinestad,Ostrobothnia,Western Finland
Kronoby,Ostrobothnia,Western Finland
Kuhmo,Kainuu,Northern Finland
Kuhmoinen,Pirkanmaa,Western Finland
Kumlinge,Åland,Western Finland
Kuopio,North Savo,Eastern Finland
Kuortane,South Ostrobothnia,Western Finland
Kurikka,South Ostrobothnia,Western Finland
Kustavi,Southwest Finland,Western Finland
Kuusamo,North Ostrobothnia,Northern Finland
Kyyjärvi,Central Finland,Western Finland
Kärkölä,Päijät-Häme,Western Finland
Kärsämäki,North Ostrobothnia,Northern Finland
Kökar,Åland,Western Finland
Lahti,Päijät-Häme,Western Finland
Laihia,Ostrobothnia,Western Finland
Laitila,Southwest Finland,Western Finland
Lapinjärvi,Uusimaa,Southern Finland
Lapinlahti,North Savo,Eastern Finland
Lappajärvi,South Ostrobothnia,Western Finland
Lappeenranta,South Karelia,Southern Finland
Lapua,South Ostrobothnia,Western Finland
Laukaa,Central Finland,Western Finland
Lemi,South Karelia,Southern Finland
Lemland,Åland,Western Finland
Lempäälä,Pirkanmaa,Western Finland
Leppävirta,North Savo,Eastern Finland
Lestijärvi,Central Ostrobothnia,Western Finland
Lieksa,North Karelia,Eastern Finland
Lieto,Southwest Finland,Western Finland
Liminka,North Ostrobothnia,Northern Finland
Liperi,North Karelia,Eastern Finland
Lohja,Uusimaa,Southern Finland
Loimaa,Southwest Finland,Western Finland
Loppi,Kanta-Häme,Western Finland
Loviisa,Uusimaa,Southern Finland
Luhanka,Central Finland,Western Finland
Lumijoki,North Ostrobothnia,Northern Finland
Lumparland,Åland,Western Finland
Larsmo,Ostrobothnia,Western Finland
Luumäki,South Karelia,Southern Finland
Malax,Ostrobothnia,Western Finland
Mariehamn,Åland,Western Finland
Marttila,Southwest Finland,Western Finland
Masku,Southwest Finland,Western Finland
Merijärvi,North Ostrobothnia,Northern Finland
Merikarvia,Satakunta,Western Finland
Miehikkälä,Kymenlaakso,Southern Finland
Mikkeli,South Savo,Eastern Finland
Muhos,North Ostrobothnia,Northern Finland
Multia,Central Finland,Western Finland
Muonio,Lapland,Northern Finland
Korsholm,Ostrobothnia,Western Finland
Muurame,Central Finland,Western Finland
Mynämäki,Southwest Finland,Western Finland
Myrskylä,Uusimaa,Southern Finland
Mäntsälä,Uusimaa,Southern Finland
Mänttä-Vilppula,Pirkanmaa,Western Finland
Mäntyharju,South Savo,Eastern Finland
Naantali,Southwest Finland,Western Finland
Nakkila,Satakunta,Western Finland
Nivala,North Ostrobothnia,Northern Finland
Nokia,Pirkanmaa,Western Finland
Nousiainen,Southwest Finland,Western Finland
Nurmes,North Karelia,Eastern Finland
Nurmijärvi,Uusimaa,Southern Finland
Närpes,Ostrobothnia,Western Finland
Orimattila,Päijät-Häme,Western Finland
Oripää,Southwest Finland,Western Finland
Orivesi,Pirkanmaa,Western Finland
Oulainen,North Ostrobothnia,Northern Finland
Oulu,North Ostrobothnia,Northern Finland
Outokumpu,North Karelia,Eastern Finland
Padasjoki,Päijät-Häme,Western Finland
Paimio,Southwest Finland,Western Finland
Paltamo,Kainuu,Northern Finland
Pargas,Southwest Finland,Western Finland
Parikkala,South Karelia,Southern Finland
Parkano,Pirkanmaa,Western Finland
Pedersöre,Ostrobothnia,Western Finland
Pelkosenniemi,Lapland,Northern Finland
Pello,Lapland,Northern Finland
Perho,Central Ostrobothnia,Western Finland
Petäjävesi,Central Finland,Western Finland
Pieksämäki,South Savo,Eastern Finland
Pielavesi,North Savo,Eastern Finland
Jakobstad,Ostrobothnia,Western Finland
Pihtipudas,Central Finland,Western Finland
Pirkkala,Pirkanmaa,Western Finland
Polvijärvi,North Karelia,Eastern Finland
Pomarkku,Satakunta,Western Finland
Pori,Satakunta,Western Finland
Pornainen,Uusimaa,Southern Finland
Porvoo,Uusimaa,Southern Finland
Posio,Lapland,Northern Finland
Pudasjärvi,North Ostrobothnia,Northern Finland
Pukkila,Uusimaa,Southern Finland
Punkalaidun,Pirkanmaa,Western Finland
Puolanka,Kainuu,Northern Finland
Puumala,South Savo,Eastern Finland
Pyhtää,Kymenlaakso,Southern Finland
Pyhäjoki,North Ostrobothnia,Northern Finland
Pyhäjärvi,North Ostrobothnia,Northern Finland
Pyhäntä,North Ostrobothnia,Northern Finland
Pyhäranta,Southwest Finland,Western Finland
Pälkäne,Pirkanmaa,Western Finland
Pöytyä,Southwest Finland,Western Finland
Raahe,North Ostrobothnia,Northern Finland
Raseborg,Uusimaa,Southern Finland
Raisio,Southwest Finland,Western Finland
Rantasalmi,South Savo,Eastern Finland
Ranua,Lapland,Northern Finland
Rauma,Satakunta,Western Finland
Rautalampi,North Savo,Eastern Finland
Rautavaara,North Savo,Eastern Finland
Rautjärvi,South Karelia,Southern Finland
Reisjärvi,North Ostrobothnia,Northern Finland
Riihimäki,Kanta-Häme,Western Finland
Ristijärvi,Kainuu,Northern Finland
Rovaniemi,Lapland,Northern Finland
Ruokolahti,South Karelia,Southern Finland
Ruovesi,Pirkanmaa,Western Finland
Rusko,Southwest Finland,Western Finland
